date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2011-01-03 | 0
2011-01-03 | 0.0
2011-01-03 | 1000
2011-01-03 | 999.999999
2011-01-03 | 1000.0001
2011-01-03 | 0.1
2011-01-03 | 0.01
2011-01-03 | 0.001
2011-01-03 | 12.345
2011-01-03 | 999.999
2011-01-03 | 0003
2011-01-03 | 003.5
2011-01-03 | 0000.5
2011-01-03 | 010
2011-01-03 | +3
2011-01-03 | +3.5
2011-01-03 | +0
2011-01-03 | 1e1
2011-01-03 | 1e2
2011-01-03 | 1e3
2011-01-03 | 1.5e2
2011-01-03 | 1e-1
2011-01-03 |    3
2011-01-03 | 3
2011-01-03 |     3
2011-01-03    | 3
2011-01-03 | 3 | 4
2011-01-03 || 3
2011-01-03 | | 3
2011-01-03 |||
2011-00-00 | 1
2011-01-00 | 1
2011-00-01 | 1
2011-13-01 | 1
2011-01-32 | 1
2011-04-31 | 1
2011-06-31 | 1
2011-09-31 | 1
2011-11-31 | 1
201a-01-01 | 1
2011-ab-01 | 1
2011-01-ab | 1
2011-01-03 |
2011-01-03 | abc
2011-01-03 | xyz123
2011-01-03 | 123abc
2011-01-03 | abc123
2011-01-03 | .
2011-01-03 | -
2011-01-03 | +
2011-01-03 | .
2000-02-29 | 1
2001-02-29 | 1
2004-02-29 | 1
1900-02-29 | 1
2100-02-29 | 1
2400-02-29 | 1
2000-01-01 | 1
1900-01-01 | 1
2020-01-01 | 1
2030-01-01 | 1
